BLUE,STATION WAGON,2660,2000,4,2035,NISSAN,MISTRAL,DIESEL,JAPAN,MATAMATA-PIAKO DISTRICT,1996,7A8DH4J0799
SILVER,UTILITY,3198,2015,11,3200,FORD,RANGER,DIESEL,THAILAND,AUCKLAND,2015,MNAUMFF50FW
SILVER,DOMESTIC TRAILER,0,2006,3,0,PINTO,TILT 8X5 TRAILER,0,NEW ZEALAND,AUCKLAND,2006,0
ORANGE,STATION WAGON,1364,2015,12,1827,HOLDEN,TRAX,PETROL,SOUTH KOREA,WELLINGTON CITY,2015,KL3BA7689GB
WHITE,LIGHT VAN,2980,2015,12,3255,TOYOTA,HIACE,DIESEL,JAPAN,AUCKLAND,2010,7AT0H60FX15
BROWN,STATION WAGON,1590,2010,11,1380,BMW,MINI,PETROL,GERMANY,AUCKLAND,2003,WMWRC32020T
WHITE,HATCHBACK,1990,2015,8,1555,MAZDA,AXELA,PETROL,JAPAN,TAURANGA CITY,2006,7AT0C13JX15
WHITE,OTHER COMMERCIAL TRAILER,0,2010,4,0,TRAILER,FURNITURE BOX,0,NEW ZEALAND,MASTERTON DISTRICT,1999,0
ORANGE,HATCHBACK,1490,2011,5,0,MAZDA,DEMIO,PETROL,JAPAN,HASTINGS DISTRICT,2002,7AT0C12HX11
RED,STATION WAGON,1951,2005,9,0,LAND ROVER,FREELANDER,DIESEL,UNITED KINGDOM,QUEENSTOWN-LAKES DISTRICT,2001,SALLNAAE71A
SILVER,SALOON,2490,2015,12,1795,NISSAN,TEANA,PETROL,JAPAN,AUCKLAND,2010,7AT0DH71X15
ORANGE,SALOON,3984,2010,11,2250,FORD,FALCON,PETROL,AUSTRALIA,WHANGAREI DISTRICT,2010,6FPAAAJGSWA
SILVER,HATCHBACK,1597,1999,11,1072,NISSAN,PULSAR,PETROL,JAPAN,AUCKLAND,1999,JN1FCAN15A0
SILVER,UTILITY,3198,2015,12,3200,FORD,RANGER,DIESEL,THAILAND,PORIRUA CITY,2015,MNAUMFF50FW
BLACK,MOTORCYCLE,1440,2011,1,0,HARLEY DAVIDSON,FLSTF,PETROL,UNITED STATES,HAMILTON CITY,2004,5HD1BMY194Y
YELLOW,MOTORCYCLE,49,2004,9,0,HONDA,NVS,PETROL,JAPAN,TIMARU DISTRICT,2002,7A88GAF1103
SILVER,HATCHBACK,1339,2011,8,0,HONDA,JAZZ,PETROL,JAPAN,PORIRUA CITY,2011,JHMGE6850CS
WHITE,LIGHT VAN,1990,2015,12,3075,TOYOTA,HIACE,PETROL,JAPAN,AUCKLAND,2005,7AT0H60FX15
YELLOW,OTHER COMMERCIAL TRAILER,0,1996,9,0,HOMEBUILT,BANDIT 65,0,UNITED STATES,WAIPA DISTRICT,1996,0
WHITE,STATION WAGON,1600,1988,8,0,NISSAN,SENTRA,PETROL,JAPAN,TIMARU DISTRICT,1988,0
SILVER,STATION WAGON,1994,2000,6,0,SUBARU,LEGACY,PETROL,JAPAN,AUCKLAND,2000,7A8GF0B0700
SILVER,BOAT TRAILER,0,2008,6,0,TRAILER,BOAT,0,NEW ZEALAND,AUCKLAND,2008,0
